No,Data Type,Keywords,Best Chart Type,Secondary Options,Color Guidance (Lingjing),Performance Impact,Accessibility Notes,Library Recommendation,Interactive Level
1,Trend Over Time,"trend, time-series, line, growth, timeline, progress",Line Chart,"Area Chart, Smooth Area",Primary: #0084FF (Aero Blue). Multiple series: #00E5FF (Pulse Cyan), #00FFC8 (Signal Green). Fill: 20% opacity,⚡ Excellent (optimized),✓ Clear line patterns for colorblind users. Add pattern overlays.,"ECharts, Chart.js, Recharts",Hover + Zoom
2,Compare Categories,"compare, categories, bar, comparison, ranking",Bar Chart (Horizontal or Vertical),"Column Chart, Grouped Bar",Each bar: distinct color from Lingjing palette. Category: grouped same color. Sorted: descending order,⚡ Excellent,✓ Easy to compare. Add value labels on bars for clarity.,"ECharts, Chart.js, D3.js",Hover + Sort
3,Part-to-Whole,"part-to-whole, pie, donut, percentage, proportion, share",Pie Chart or Donut,"Stacked Bar, Treemap",Colors: 5-6 max from Lingjing palette. Contrasting palette. Large slices first. Use labels.,⚡ Good (limit 6 slices),⚠ Hard for accessibility. Better: Stacked bar with legend. Avoid pie if >5 items.,"ECharts, Chart.js, D3.js",Hover + Drill
4,Correlation/Distribution,"correlation, distribution, scatter, relationship, pattern",Scatter Plot or Bubble Chart,"Heat Map, Matrix",Color axis: gradient (#0084FF to #00E5FF). Size: relative. Opacity: 0.6-0.8 to show density,⚠ Moderate (many points),⚠ Provide data table alternative. Use pattern + color distinction.,"ECharts, Plotly, D3.js",Hover + Brush
5,Heatmap/Intensity,"heatmap, heat-map, intensity, density, matrix",Heat Map or Choropleth,"Grid Heat Map, Bubble Heat",Gradient: Cool (#0084FF) to Hot (#FF4D4F). Scale: clear legend. Divergent for ±data,⚡ Excellent (color CSS),⚠ Colorblind: Use pattern overlay. Provide numerical legend.,"ECharts, Plotly, ApexCharts",Hover + Zoom
6,Geographic Data,"geographic, map, location, region, geo, spatial","Choropleth Map, Bubble Map",Geographic Heat Map,Regional: single color gradient or categorized colors from Lingjing palette. Legend: clear scale,⚠ Moderate (rendering),⚠ Include text labels for regions. Provide data table alternative.,"ECharts, Mapbox, Leaflet",Pan + Zoom + Drill
7,Funnel/Flow,funnel/flow,"Funnel Chart, Sankey",Waterfall (for flows),Stages: gradient (#0084FF → #00E5FF → #00FFC8). Show conversion %,⚡ Good,✓ Clear stage labels + percentages. Good for accessibility if labeled.,"ECharts, D3.js, Custom SVG",Hover + Drill
8,Performance vs Target,performance-vs-target,Gauge Chart or Bullet Chart,"Dial, Thermometer",Performance: #FF4D4F (Error Red) → #FFB020 (Warning Amber) → #00FFC8 (Signal Green). Target: marker line. Threshold colors,⚡ Good,✓ Add numerical value + percentage label beside gauge.,"ECharts, ApexCharts, Custom SVG",Hover
9,Time-Series Forecast,time-series-forecast,Line with Confidence Band,Ribbon Chart,Actual: solid line #0084FF. Forecast: dashed #FFB020. Band: light shading,⚡ Good,✓ Clearly distinguish actual vs forecast. Add legend.,"ECharts, ApexCharts, Plotly",Hover + Toggle
10,Anomaly Detection,anomaly-detection,Line Chart with Highlights,Scatter with Alert,Normal: #0084FF. Anomaly: #FF4D4F circle/square marker + alert,⚡ Good,✓ Circle/marker for anomalies. Add text alert annotation.,"ECharts, Plotly, ApexCharts",Hover + Alert
11,Hierarchical/Nested Data,hierarchical/nested-data,Treemap,"Sunburst, Nested Donut, Icicle",Parent: distinct hues from Lingjing palette. Children: lighter shades. White borders 2-3px.,⚠ Moderate,⚠ Poor - provide table alternative. Label large areas.,"ECharts, D3.js, ApexCharts",Hover + Drilldown
12,Flow/Process Data,flow/process-data,Sankey Diagram,"Alluvial, Chord Diagram",Gradient from source to target (#0084FF to #00E5FF). Opacity 0.4-0.6 for flows.,⚠ Moderate,⚠ Poor - provide flow table alternative.,"ECharts (d3-sankey), Plotly",Hover + Drilldown
13,Cumulative Changes,cumulative-changes,Waterfall Chart,"Stacked Bar, Cascade",Increases: #00FFC8. Decreases: #FF4D4F. Start: #0084FF. End: #00E5FF.,⚡ Good,✓ Good - clear directional colors with labels.,"ECharts, ApexCharts, Plotly",Hover
14,Multi-Variable Comparison,multi-variable-comparison,Radar/Spider Chart,"Parallel Coordinates, Grouped Bar",Single: #0084FF 20% fill. Multiple: distinct colors from Lingjing palette per dataset.,⚡ Good,⚠ Moderate - limit 5-8 axes. Add data table.,"ECharts, Chart.js, ApexCharts",Hover + Toggle
15,Stock/Trading OHLC,stock/trading-ohlc,Candlestick Chart,"OHLC Bar, Heikin-Ashi",Bullish: #00FFC8. Bearish: #FF4D4F. Volume: 40% opacity below.,⚡ Good,⚠ Moderate - provide OHLC data table.,"Lightweight Charts (TradingView), ECharts",Real-time + Hover + Zoom
16,Relationship/Connection Data,relationship/connection-data,Network Graph,"Hierarchical Tree, Adjacency Matrix",Node types: categorical colors from Lingjing palette. Edges: #6B7280 60% opacity.,❌ Poor (500+ nodes struggles),❌ Very Poor - provide adjacency list alternative.,"ECharts (d3-force), Vis.js, Cytoscape.js",Drilldown + Hover + Drag
17,Distribution/Statistical,distribution/statistical,Box Plot,"Violin Plot, Beeswarm",Box: #E1EFFE. Border: #0084FF. Median: #FF4D4F. Outliers: #FF4D4F.,⚡ Excellent,"✓ Good - include stats table (min, Q1, median, Q3, max).","ECharts, D3.js, Chart.js (plugin)",Hover
18,Performance vs Target (Compact),performance-vs-target-(compact),Bullet Chart,"Gauge, Progress Bar","Ranges: #FECACA, #FEF3C7, #D1FAE5. Performance: #0084FF. Target: black 3px.",⚡ Excellent,✓ Excellent - compact with clear values.,"ECharts, Plotly, Custom SVG",Hover
19,Proportional/Percentage,proportional/percentage,Waffle Chart,"Pictogram, Stacked Bar 100%",10x10 grid. 3-5 categories max from Lingjing palette. 2-3px spacing between squares.,⚡ Good,✓ Good - better than pie for accessibility.,"ECharts, React-Waffle, Custom CSS Grid",Hover
20,Hierarchical Proportional,hierarchical-proportional,Sunburst Chart,"Treemap, Icicle, Circle Packing",Center to outer: darker to lighter. 15-20% lighter per level from Lingjing palette.,⚠ Moderate,⚠ Poor - provide hierarchy table alternative.,"ECharts (d3-hierarchy), D3.js, ApexCharts",Drilldown + Hover
21,Root Cause Analysis,"root cause, decomposition, tree, hierarchy, drill-down, ai-split",Decomposition Tree,"Decision Tree, Flow Chart",Nodes: #0084FF (Primary) vs #FF4D4F (Negative impact). Connectors: Neutral grey.,⚠ Moderate (calculation heavy),✓ clear hierarchy. Allow keyboard navigation for nodes.,"ECharts, React-Flow, Custom D3.js",Drill + Expand
22,3D Spatial Data,"3d, spatial, immersive, terrain, molecular, volumetric",3D Scatter/Surface Plot,"Volumetric Rendering, Point Cloud",Depth cues: lighting/shading. Z-axis: color gradient (#0084FF to #00E5FF).,❌ Heavy (WebGL required),❌ Poor - requires alternative 2D view or data table.,"Three.js, Deck.gl, Plotly 3D",Rotate + Zoom + VR
23,Real-Time Streaming,"streaming, real-time, ticker, live, velocity, pulse",Streaming Area Chart,"Ticker Tape, Moving Gauge",Current: Bright Pulse (#00FFC8). History: Fading opacity. Grid: Dark.,⚡ Optimized (canvas/webgl),⚠ Flashing elements - provide pause button. High contrast.,ECharts, CanvasJS
24,Sentiment/Emotion,"sentiment, emotion, nlp, opinion, feeling",Word Cloud with Sentiment,"Sentiment Arc, Radar Chart",Positive: #00FFC8. Negative: #FF4D4F. Neutral: #6B7280. Size = Frequency.,⚡ Good,⚠ Word clouds poor for screen readers. Use list view.,"ECharts, Highcharts, Nivo",Hover + Filter
25,Process Mining,"process, mining, variants, path, bottleneck, log",Process Map / Graph,"Directed Acyclic Graph (DAG), Petri Net",Happy path: #00FFC8 (Thick). Deviations: #FFB020 (Thin). Bottlenecks: #FF4D4F.,⚠ Moderate to Heavy,⚠ Complex graphs hard to navigate. Provide path summary.,"React-Flow, Cytoscape.js, ECharts",Drag + Node-Click
26,AI Model Performance,"ai, model, performance, metrics, accuracy, precision",Radar Chart + Line Chart,"Multi-metric Dashboard",Metrics: #0084FF (Accuracy), #00E5FF (Precision), #00FFC8 (Recall), #FFB020 (F1). Baseline: dashed grey.,⚡ Good,✓ Clear metric labels + values. Add comparison baseline.,"ECharts, Plotly, Custom",Hover + Toggle
27,Flight Trajectory,"flight, trajectory, path, route, aviation, spatial",3D Line Chart + Map,"2D Map Overlay, Heat Map",Path: #0084FF (Aero Blue). Altitude: #00E5FF (Pulse Cyan). Speed: #00FFC8 (Signal Green).,⚡ Good,✓ Clear altitude/speed indicators. Provide 2D fallback.,"ECharts GL, Mapbox, Three.js",Rotate + Zoom + Time-Play
28,Aircraft Health Monitoring,"aircraft, health, monitoring, sensor, telemetry",Multi-line Chart + Gauge,"Real-time Dashboard",Normal: #00FFC8. Warning: #FFB020. Critical: #FF4D4F. Historical: #0084FF.,⚡ Excellent,✓ Clear color-coded status. Provide alert system.,"ECharts, Custom Real-time",Hover + Alert + Zoom
29,Weather Visualization,"weather, visualization, forecast, radar, temperature",Radar Chart + Heat Map,"Wind Rose, Temperature Map",Temperature: Cool→Hot gradient (#0084FF→#FF4D4F). Precipitation: #00E5FF intensity. Wind: #00FFC8 arrows.,⚡ Good,✓ Clear legend + units. Provide text forecast alternative.,"ECharts, Leaflet, Plotly",Hover + Zoom + Time-Play
30,Air Traffic Control,"atc, air traffic, control, radar, aircraft",Radar Chart + Real-time Points,"3D Tower View, Sector Map",Aircraft: #0084FF. Conflicts: #FF4D4F. Sectors: #00E5FF boundaries.,⚡ Excellent (real-time),✓ Clear conflict alerts. Provide sector list.,"ECharts, Custom WebGL",Hover + Zoom + Filter
