Category,Token Name,Light Value,Dark Value,Description
Color,color-aero-blue,#0066CC,#0084FF,Aero-Intelligence Blue (灵航蓝) - Core Identity
Color,color-aero-blue-100,#E1EFFE,#0A2448,Light Aero-Blue (100)
Color,color-aero-blue-200,#B3D3F6,#143B6E,Light Aero-Blue (200)
Color,color-aero-blue-300,#85B7EE,#1E5294,Light Aero-Blue (300)
Color,color-aero-blue-400,#579BE6,#2869BA,Light Aero-Blue (400)
Color,color-aero-blue-500,#297FDE,#3280E0,Medium Aero-Blue (500)
Color,color-aero-blue-600,#0066CC,#3C97E6,Dark Aero-Blue (600)
Color,color-aero-blue-700,#0052A3,#46AEEC,Dark Aero-Blue (700)
Color,color-aero-blue-800,#003D7A,#50C5F2,Dark Aero-Blue (800)
Color,color-aero-blue-900,#002951,#5AD2FF,Dark Aero-Blue (900)
Color,color-pulse-cyan,#0099AA,#00E5FF,Pulse-Energy Cyan (脉冲青) - High Energy
Color,color-pulse-cyan-100,#E5FBFF,#0A3336,Light Pulse-Cyan (100)
Color,color-pulse-cyan-200,#B3F7FF,#144D51,Light Pulse-Cyan (200)
Color,color-pulse-cyan-300,#80F3FF,#1E676C,Light Pulse-Cyan (300)
Color,color-pulse-cyan-400,#4EEFFF,#288186,Light Pulse-Cyan (400)
Color,color-pulse-cyan-500,#1CEBFF,#329BA0,Medium Pulse-Cyan (500)
Color,color-pulse-cyan-600,#00D7E5,#3CA5A9,Dark Pulse-Cyan (600)
Color,color-pulse-cyan-700,#00B3C1,#46BFC3,Dark Pulse-Cyan (700)
Color,color-pulse-cyan-800,#008FA1,#50D9DB,Dark Pulse-Cyan (800)
Color,color-pulse-cyan-900,#006B79,#5AE7E9,Dark Pulse-Cyan (900)
Color,color-signal-green,#00A383,#00FFC8,Signal-Safe Green (信标绿) - Success/Status
Color,color-signal-green-100,#E6FEF9,#0A362E,Light Signal-Green (100)
Color,color-signal-green-200,#B3FDF1,#145045,Light Signal-Green (200)
Color,color-signal-green-300,#80FBE9,#1E6A5D,Light Signal-Green (300)
Color,color-signal-green-400,#4EFBE1,#288475,Light Signal-Green (400)
Color,color-signal-green-500,#1CFAD9,#329E8D,Medium Signal-Green (500)
Color,color-signal-green-600,#00E6C8,#3CA895,Dark Signal-Green (600)
Color,color-signal-green-700,#00C2A8,#46B29D,Dark Signal-Green (700)
Color,color-signal-green-800,#009E88,#50CCB5,Dark Signal-Green (800)
Color,color-signal-green-900,#007A68,#5AE6CD,Dark Signal-Green (900)
