No,Pattern Category,Restriction,Why Prohibited,Alternative Solution,Priority,Scope
1,Color,禁止使用纯红色 #FF0000,过于刺眼不符合航空智能美学,使用 #EF4444 或 #F59E0B 用于关键警报,High,Global
2,Shape,禁止使用过大圆角 (Radius > 12px),过于圆润不符合专业定位,最大圆角 12px（平滑但不圆钝）,Medium,Global
3,Effect,禁止全屏模糊效果,影响性能和可读性,仅对顶层覆盖或卡片应用模糊,High,Global
4,Effect,禁止扫描线效果,复古未来主义与品牌不符,使用微妙渐变或呼吸光晕,Critical,Global
5,Effect,禁止重工业纹理（噪点/磨损）,粗糙质感与洁净美学冲突,使用干净渐变或磨砂玻璃,Critical,Global
6,Effect,禁止刚性HUD边框,过于机械不符合流畅美学,使用干净线条或渐变边框,Critical,Global
7,Typography,禁止低对比度文本,可访问性差影响用户体验,确保对比度 > 7:1 (AAA标准),High,Global
8,Component,禁止填充型次要按钮,视觉层级混乱,次要操作使用幽灵按钮（Ghost Button）,Medium,Buttons
9,Icon,禁止导航中使用3D图标,风格不统一影响专业性,导航使用线性图标（1.5px描边）,Medium,Navigation
10,Theme,浅色模式禁止深色背景,主题混乱影响视觉一致性,浅色模式仅使用 #F5F7FA 或 #FFFFFF,High,Light Mode
11,Theme,深色模式禁止浅色背景,主题混乱影响视觉一致性,深色模式仅使用 #0B1120 或深色玻璃,High,Dark Mode
12,Animation,禁止使用缓动函数外的动画,性能差且不流畅,使用预定义的 Material Design 3 缓动函数,Medium,Global
13,Layout,禁止固定宽度容器（< 375px）,移动端体验差,使用响应式容器最小宽度 375px,High,Responsive
14,Accessibility,禁止纯色差作为唯一提示,色盲用户无法识别,结合图标、文本或形状标识状态,Critical,Global
