Type,Name,Description,CSS Class,Scenario,Priority,Status
Card,Standard,Standard container with glassmorphism (Web/B-End Only - NO UE),.card-glass,Layout,Core,Implemented
Card,Effect Glass,Glassmorphism container with deep blue glass effect (based on demo),.effect-glass,Layout,Core,Implemented
Card,Solid,Solid background card for high contrast data,.card-solid,Layout,Core,Implemented
Card,UE-Mimetic,Default container for UE scenes (Parent Level),.card-ue-mimetic,UE,Core,Implemented
Card,UE-Data-Highlight,Sub-container for content grouping (Child Level),.card-ue-data-highlight,UE,Core,Implemented
Card,Glass-Card,High transparency frosted glass card for HUD/Floating panels,.card-glass-hud,Layout,Core,Implemented
Card,Glass-Secondary,Light gradient fill card for sub-level content,.card-glass-secondary,Layout,Core,Implemented
Button,Primary,Main call-to-action button,.btn-primary,Form,Core,Implemented
Button,Secondary,Secondary action button,.btn-secondary,Form,Core,Implemented
Button,Ghost,Transparent button for subtle actions,.btn-ghost,Form,Core,Implemented
Button,UE-Special,UE场景专用按钮,.btn-ue,UE,Core,Implemented
Input,Text Field,Standard text input with focus glow,.input-field,Form,Core,Implemented
Badge,Status,Small status indicator,.badge,Data,Core,Implemented
Chart,Container,Wrapper for ECharts/Canvas,.chart-container,Data,Core,Implemented
Navigation,Sidebar,Vertical navigation menu,.nav-sidebar,Navigation,Core,Implemented
Header,Top Bar,Horizontal top header,.header-top,Navigation,Core,Implemented
Grid,Bento,Bento-style grid layout container,.grid-bento,Layout,Core,Implemented
Preview,UE-Viewport,Container for 3D/UE viewport stream,.ue-viewport,UE,Core,Implemented
Overlay,UE-Stats-HUD,Heads-up display for rendering statistics,.ue-stats-hud,UE,Core,Implemented
Control,UE-Toggle,Switch between 3D and 2D views (Accessibility requirement),.ue-toggle,UE,Core,Implemented
Overlay,UE-Vignette,Full screen vignette with deep midnight blue gradient (UE Only),.vignette-overlay,UE,Core,Implemented
Layout,Panel-Row,Standard flex row with border/ring for list items,.panel-row,Layout,Core,Implemented
Layout,UE-Panel-Row-Clean,Panel row without border/ring (for clean lists in UE scenes),.panel-row-clean,UE,Core,Implemented
Table,UE-Table,High density data table with glass headers and hover effects,.table-ue,Data,Core,Implemented
Timeline,UE-Histogram,Time distribution bar with improved visibility (UE Only),.timeline-histogram,Data,Core,Implemented
Timeline,UE-Label,Time axis text label (UE Only),.timeline-label,Data,Core,Implemented
Form,Checkbox,Standard checkbox input,.form-checkbox,Form,Core,Implemented
Form,Radio,Radio button input,.form-radio,Form,Core,Implemented
Form,Select,Dropdown select input,.form-select,Form,Core,Implemented
Form,Textarea,Multi-line text input,.form-textarea,Form,Core,Implemented
Form,Switch,Toggle switch input,.form-switch,Form,Core,Implemented
Form,Slider,Range slider input,.form-slider,Form,Core,Implemented
Navigation,Breadcrumb,Path navigation indicator,.nav-breadcrumb,Navigation,Core,Implemented
Navigation,Top Nav,Horizontal top navigation,.nav-top,Navigation,Core,Implemented
Navigation,Tab Navigation,Tab-based navigation,.nav-tabs,Navigation,Core,Implemented
Navigation,Pagination,Page navigation controls,.nav-pagination,Navigation,Core,Implemented
Data,Tag,Small information tag,.data-tag,Data,Core,Implemented
Data,Tooltip,Inline information tooltip,.data-tooltip,Data,Core,Planned
Data,Accordion,Collapsible content panel,.data-accordion,Data,Core,Implemented
Data,Tabs,Tabbed content container,.data-tabs,Data,Core,Implemented
Data,List Group,Vertical list of items,.data-list-group,Data,Core,Implemented
Feedback,Alert,Notification message,.feedback-alert,Feedback,Core,Implemented
Feedback,Toast,Floating notification,.feedback-toast,Feedback,Core,Implemented
Feedback,Modal,Modal dialog box,.feedback-modal,Feedback,Core,Implemented
Feedback,Drawer,Slide-in side panel,.feedback-drawer,Feedback,Core,Implemented
Feedback,Loading,Loading indicator,.feedback-loading,Feedback,Core,Implemented
Layout,Container,Fixed-width content container,.layout-container,Layout,Core,Planned
Layout,Grid,Responsive grid system,.layout-grid,Layout,Core,Planned
Layout,Row,Horizontal flex container,.layout-row,Layout,Core,Planned
Layout,Column,Vertical flex container,.layout-column,Layout,Core,Planned
Layout,Divider,Visual separator,.layout-divider,Layout,Core,Planned
Media,Image,Responsive image container,.media-image,Data,Core,Planned
Media,Video,Video player container,.media-video,Data,Core,Planned
Media,Avatar,User profile avatar,.media-avatar,Data,Core,Planned
Media,Icon Button,Icon-only button,.media-icon-button,Form,Core,Planned
Utility,Back to Top,Scroll-to-top button,.util-back-to-top,Layout,Extended,Planned
Utility,Progress Bar,Progress indicator,.util-progress-bar,Feedback,Core,Implemented
Utility,Spinner,Loading spinner,.util-spinner,Feedback,Core,Planned
Utility,Dropdown,Generic dropdown menu,.util-dropdown,Form,Core,Planned
Utility,Overlay,Generic overlay layer,.util-overlay,Layout,Core,Planned
Icon,Lucide,Lucide Icons component with data-lucide attribute,.icon-lucide,Data,Core,Planned
Icon,Phosphor,Phosphor Icons component with data-phosphor attribute,.icon-phosphor,Data,Extended,Planned
Icon,Heroicons,Heroicons component,.icon-heroicons,Data,Extended,Planned
Icon,Feather,Feather Icons component,.icon-feather,Data,Extended,Planned
Icon,Material,Material Symbols component,.icon-material,Data,Extended,Planned
Icon,Button,Icon-only button with glassmorphism,.icon-button,Form,Core,Planned
