group_key,count,sample_actor_labels,source_folder_path,asset_path,actor_class_path,assembly_signature,render_part_count,total_render_part_count,source_actor_count,unsupported_component_count,unsupported_component_types,risk_flags,suggested_object_type_rid,suggested_object_type_name,hierarchy_path,classification_status,action,notes
assembly_signature:025846afabe8fcccb72921b65b4bddbb,1,Group007,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle004.Rectangle004,/Script/Engine.Actor,025846afabe8fcccb72921b65b4bddbb,4,4,5,0,,composite_assembly,zhhz.exhibit_fixture.model_6f12aaee9e552936,海蓝发光信息牌（EF-19）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-19; datasmith_geometry=6f12aaee9e552936ea2fa5d3448f140c2c8f5aeba8691c5d686ce56d74508e44; handle=243445; selection_source=round2_high_confidence
assembly_signature:0542eaf875efaa620f53018efe97aa22,1,Group2136669781,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-16049182-275-820.Obj3d66-16049182-275-820,/Script/Engine.Actor,0542eaf875efaa620f53018efe97aa22,148,148,154,0,,composite_assembly,zhhz.furniture.model_1e271d28426dbb11,浅灰模块沙发-中间模块A（FUR-03）,航空展馆/家具,confirmed,create_experimental,round2 model=FUR-03; datasmith_geometry=1e271d28426dbb116ec8712da2dd76633b32760d5c89de253ed44643c37eb3ee; handle=157798; selection_source=round2_high_confidence
assembly_signature:06831ec7ace53f666757b0a8d3bb57f5,1,Group2136670507,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Rectangle2133400789.Rectangle2133400789,/Script/Engine.Actor,06831ec7ace53f666757b0a8d3bb57f5,23,23,26,0,,composite_assembly,zhhz.exhibit_fixture.model_0b4ccec734c275fb,灰黑组合展台-A（EF-02）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-02; datasmith_geometry=0b4ccec734c275fbf7b5ef1cc32e74e73d6ccf299a281add90c3e0383942dbd6; handle=574783; selection_source=round2_high_confidence
assembly_signature:07745dce7eaa7cc5f7b81fb3814a17de,1,Group2136669715,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131642490.Box2131642490,/Script/Engine.Actor,07745dce7eaa7cc5f7b81fb3814a17de,6,6,10,0,,composite_assembly,zhhz.display_media_device.model_00c7287cd8769399,数据展示LED屏-02（DMD-02）,航空展馆/显示与媒体设备,confirmed,create_experimental,round2 model=DMD-02; datasmith_geometry=00c7287cd8769399eaacc7ebc24afb44db6a0785068b9d328e91993116bec64c; handle=155842; selection_source=round2_high_confidence
assembly_signature:07df0e6e6d36c50ccccf2920411f2225,1,Group-402577-659,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-402577-116-620.Obj3d66-402577-116-620,/Script/Engine.Actor,07df0e6e6d36c50ccccf2920411f2225,118,118,119,0,,composite_assembly,zhhz.exhibit_fixture.model_b21555c5a7d704ae,大型复合展陈装置（EF-25）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-25; datasmith_geometry=b21555c5a7d704aeabc52157349b6b64406cd730e23d4b0b298d1c4ad620926f; handle=313609; selection_source=round2_high_confidence
assembly_signature:0909cc5a79806efdcb6fcd91782afb97,1,Group2136668563,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Object10128898.Object10128898,/Script/Engine.Actor,0909cc5a79806efdcb6fcd91782afb97,4,4,7,0,,composite_assembly,zhhz.exhibit_fixture.model_5d26575f9efc156d,小型白色展台（EF-16）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-16; datasmith_geometry=5d26575f9efc156d7decbe668f1f4e197bb2b467ccfb053c41569713002df968; handle=109734; selection_source=round2_high_confidence
assembly_signature:0a53cd0eeda51c1d0bce8a59a183591b,1,Group2136670041,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131642669_2.Box2131642669_2,/Script/Engine.Actor,0a53cd0eeda51c1d0bce8a59a183591b,2,2,3,0,,composite_assembly,zhhz.exhibit_fixture.model_054920a28ec53d60,白色倒角展台-A（EF-01）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-01; datasmith_geometry=054920a28ec53d602c31129b996b6f12348aefad3826b2e49d00b46ee4f91e46; handle=243377; selection_source=round2_high_confidence
assembly_signature:0ed54eeb361b8dbd7d182647540573b2,1,Group2136669995,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-17935187-2-786.Obj3d66-17935187-2-786,/Script/Engine.Actor,0ed54eeb361b8dbd7d182647540573b2,25,25,27,0,,composite_assembly,zhhz.exhibit_fixture.model_1738f547ab972655,图文组合展台（EF-05）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-05; datasmith_geometry=1738f547ab97265578972b62d37105221cff19b046981dbf0b09cb84a4e1b15c; handle=206379; selection_source=round2_high_confidence
assembly_signature:0ff9931f7492884fb717c57d28c950c0,1,Group-402577-660,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-402577-90-086.Obj3d66-402577-90-086,/Script/Engine.Actor,0ff9931f7492884fb717c57d28c950c0,118,118,119,0,,composite_assembly,zhhz.exhibit_fixture.model_ad28cfe223b46602,大型复合展陈装置（EF-24）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-24; datasmith_geometry=ad28cfe223b46602b751c98f4bb3eccbdf0550f624a92166f75ee620a4042aa0; handle=313728; selection_source=round2_high_confidence
assembly_signature:1d308ef8415d15bf86a6334ff8aa14ca,1,Group2136670535,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Box2131643785.Box2131643785,/Script/Engine.Actor,1d308ef8415d15bf86a6334ff8aa14ca,12,12,14,0,,composite_assembly,zhhz.furniture.model_2c43c2099c60a0f1,黑边操作台-04（FUR-04）,航空展馆/家具,confirmed,create_experimental,round2 model=FUR-04; datasmith_geometry=2c43c2099c60a0f1264bbe4094588f570be6015f8d68eb4e2de0efd670963b0f; handle=637730; selection_source=round2_high_confidence
assembly_signature:2a73c890fc218cbe2378ce68e065a023,1,Group-402577-657,ToMigrateAudit,/Game/AVIC_Show/Art/A03_ParkLevel/0713/Geometries/Obj3d66-402577-115-471.Obj3d66-402577-115-471,/Script/Engine.Actor,2a73c890fc218cbe2378ce68e065a023,118,118,119,0,,composite_assembly,zhhz.exhibit_fixture.model_52b4ef67231b1f24,大型复合展陈装置（EF-11）,航空展馆/展陈装置,confirmed,create_experimental,round2 model=EF-11; datasmith_geometry=52b4ef67231b1f24f5ecc0ce5e7f5e5f494820f43f862554d32b894c0618f8b4; handle=313371; selection_source=round2_high_confidence
